strain;date;country;clade
hCoV-19/Malawi/CERI-KRISP-K022824/2021;21/07/2021;Malawi;21I (Delta)
hCoV-19/Malawi/CERI-KRISP-K022843/2021;12/07/2021;Malawi;21I (Delta)
hCoV-19/Malawi/CERI-KRISP-K022845/2021;09/07/2021;Malawi;21A (Delta)
hCoV-19/Malawi/CERI-KRISP-K022847/2021;10/07/2021;Malawi;21A (Delta)
hCoV-19/Malawi/CERI-KRISP-K022856/2021;10/07/2021;Malawi;21I (Delta)
hCoV-19/Malawi/CERI-KRISP-K022857/2021;13/07/2021;Malawi;21I (Delta)
hCoV-19/Malawi/CERI-KRISP-K024698/2021;26/07/2021;Malawi;21J (Delta)
hCoV-19/Malawi/KRISP-K010155/2020;25/11/2020;Malawi;20I (Alpha, V1)
hCoV-19/Malawi/KRISP-K010305/2021;05/01/2021;Malawi;20H (Beta, V2)
hCoV-19/Malawi/KRISP-K010353/2020;29/12/2020;Malawi;20H (Beta, V2)
hCoV-19/Malawi/MLW-00024/2020;14/09/2020;Malawi;20B
hCoV-19/Malawi/MLW-00053/2021;16/07/2021;Malawi;21A (Delta)
hCoV-19/Malawi/MLW-00068/2021;05/08/2021;Malawi;21I (Delta)
hCoV-19/Malawi/NHRL-COVseq0079/2021;31/05/2021;Malawi;21I (Delta)
hCoV-19/Malawi/NHRL-COVseq0099/2021;31/05/2021;Malawi;21J (Delta)
hCoV-19/Malaysia/C19UMB410/2021;06/10/2021;Malaysia;21J (Delta)
hCoV-19/Malaysia/IMR_011049/2021;27/06/2021;Malaysia;21I (Delta)
hCoV-19/Malaysia/IMR_025404/2021;08/06/2021;Malaysia;20H (Beta, V2)
hCoV-19/Malaysia/IMR_045057/2021;11/06/2021;Malaysia;21I (Delta)
hCoV-19/Malaysia/IMR_CV02121/2021;31/07/2021;Malaysia;21A (Delta)
hCoV-19/Malaysia/IMR_WC379623/2021;28/06/2021;Malaysia;21I (Delta)
hCoV-19/Malaysia/IMR-WC196746/2020;30/09/2020;Malaysia;20A
hCoV-19/Malaysia/MGI_GS0141/2021;05/08/2021;Malaysia;21I (Delta)
hCoV-19/Malaysia/UNIMAS-0242/2020;01/04/2020;Malaysia;20A
hCoV-19/Malaysia/UNIMAS-C122/2020;29/05/2020;Malaysia;19A
hCoV-19/Malaysia/USM_Monash_JKNK_N27069/2020;20/11/2020;Malaysia;20A
hCoV-19/Maldives/MAV0749/2020;09/05/2020;Maldives;20A
hCoV-19/Maldives/MAV13787/2020;31/12/2020;Maldives;20B
hCoV-19/Maldives/MAV73451/2021;27/06/2021;Maldives;21J (Delta)
hCoV-19/Maldives/MAV76803/2021;25/07/2021;Maldives;21J (Delta)
hCoV-19/Mali/CICM1649/2021;11/08/2021;Mali;21J (Delta)
hCoV-19/Mali/CICM9708/2021;19/01/2021;Mali;19A
hCoV-19/Mali/M00960/2020;10/06/2020;Mali;20A
hCoV-19/Mali/MAL0109/2021;10/08/2021;Mali;21J (Delta)
hCoV-19/Mali/MAL0110/2021;11/08/2021;Mali;21J (Delta)
hCoV-19/Mali/MAL0146/2021;31/07/2021;Mali;20I (Alpha, V1)
hCoV-19/Malta/BAL-Sliema-9/2020;07/09/2020;Malta;20A
hCoV-19/Malta/MDxMDH537/2021;08/07/2021;Malta;21A (Delta)
hCoV-19/Mauritius/181766/2021;24/05/2021;Mauritius;20B
hCoV-19/Mauritius/187463/2021;27/05/2021;Mauritius;20B
hCoV-19/Mauritius/200648/2021;03/06/2021;Mauritius;20B
hCoV-19/Mauritius/204062/2021;05/06/2021;Mauritius;20B
hCoV-19/Mauritius/217477/2021;11/06/2021;Mauritius;20B
hCoV-19/Mauritius/228174/2021;17/06/2021;Mauritius;20B
hCoV-19/Mauritius/235394/2021;21/06/2021;Mauritius;20B
hCoV-19/Mauritius/235419/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235420/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235425/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235426/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235432/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235433/2021;24/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235443/2021;26/06/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/235450/2021;30/06/2021;Mauritius;20B
hCoV-19/Mauritius/235460/2021;30/06/2021;Mauritius;20B
hCoV-19/Mauritius/257471/2021;07/07/2021;Mauritius;20B
hCoV-19/Mauritius/259644/2021;03/07/2021;Mauritius;20B
hCoV-19/Mauritius/259808/2021;01/07/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/259814/2021;01/07/2021;Mauritius;21I (Delta)
hCoV-19/Mauritius/262625/2021;05/07/2021;Mauritius;20B
hCoV-19/Mauritius/265717/2021;07/07/2021;Mauritius;20B
hCoV-19/Mauritius/279685/2021;14/07/2021;Mauritius;20B
hCoV-19/Mauritius/298326/2021;16/07/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/298327/2021;16/07/2021;Mauritius;21J (Delta)
hCoV-19/Mauritius/305997/2021;26/07/2021;Mauritius;20B
hCoV-19/Mauritius/307460/2021;28/07/2021;Mauritius;20B
hCoV-19/Mauritius/310011/2021;29/07/2021;Mauritius;20B
hCoV-19/Mauritius/77706/2021;31/03/2021;Mauritius;20B
hCoV-19/Mauritius/98032/2021;10/04/2021;Mauritius;20B
hCoV-19/Mauritius/N2024/2021;17/01/2021;Mauritius;20A
hCoV-19/Mauritius/P-001880/2020;23/10/2020;Mauritius;20A
hCoV-19/Mauritius/W0167902/2021;21/09/2021;Mauritius;21J (Delta)
hCoV-19/Mexico/AGU_IBT_IMSS_1466/2021;24/05/2021;Mexico;20B
hCoV-19/Mexico/AGU_InDRE_FB29605_S6340/2021;08/08/2021;Mexico;21H (Mu)
hCoV-19/Mexico/AGU_InDRE_FB40049_S7397/2021;05/09/2021;Mexico;21A (Delta)
hCoV-19/Mexico/AGU-InDRE_FB18601_S4290/2021;28/06/2021;Mexico;21H (Mu)
hCoV-19/Mexico/AGU-InDRE_FB19710_S5165/2021;01/07/2021;Mexico;20B
hCoV-19/Mexico/BCN_InDRE_FB30688_S6547/2021;04/08/2021;Mexico;21A (Delta)
hCoV-19/Mexico/BCN-SEARCH-102864/2020;27/04/2020;Mexico;20A
hCoV-19/Mexico/BCN-SEARCH-104140/2021;06/07/2021;Mexico;21A (Delta)
hCoV-19/Mexico/BCS-InDRE_FB19255_S4502/2021;23/06/2021;Mexico;20I (Alpha, V1)
hCoV-19/Mexico/CAM_InDRE_FB32613_S6570/2021;11/08/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/CAM_LANGEBIO_IMSS_1522/2021;23/06/2021;Mexico;recombinant
hCoV-19/Mexico/CAM-InDRE_FB25160_S5589/2021;19/07/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/CHH_IBT_IMSS_3328/2021;07/09/2021;Mexico;21J (Delta)
hCoV-19/Mexico/CHH-LANGEBIO_IMSS_1682/2021;27/06/2021;Mexico;21I (Delta)
hCoV-19/Mexico/COL_IBT_IMSS_2277/2021;20/07/2021;Mexico;20A
hCoV-19/Mexico/COL_IBT_IMSS_3229/2021;07/09/2021;Mexico;21I (Delta)
hCoV-19/Mexico/COL-InDRE_394/2020;27/07/2020;Mexico;20C
hCoV-19/Mexico/COL-LANGEBIO_IMSS_1632/2021;28/06/2021;Mexico;21G (Lambda)
hCoV-19/Mexico/DUR_InDRE_FB39887_S7386/2021;10/09/2021;Mexico;21I (Delta)
hCoV-19/Mexico/GRO-InDRE_FB16449_S3711/2021;23/05/2021;Mexico;20B
hCoV-19/Mexico/GRO-InDRE-10/2020;13/03/2020;Mexico;20C
hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1838/2021;30/06/2021;Mexico;21J (Delta)
hCoV-19/Mexico/GUA-InDRE_250/2021;06/01/2021;Mexico;20C
hCoV-19/Mexico/GUA-InDRE_252/2021;13/01/2021;Mexico;20B
hCoV-19/Mexico/GUA-InDRE_FB21941_S5256/2021;16/07/2021;Mexico;21H (Mu)
hCoV-19/Mexico/HID-InDRE_FB17248_S3195/2021;09/06/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/HID-InDRE_FB19148_S4748/2021;29/06/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/JAL-InDRE_FB18592_S4288/2021;26/06/2021;Mexico;recombinant
hCoV-19/Mexico/JAL-LANGEBIO_IMSS_1030/2021;26/05/2021;Mexico;20B
hCoV-19/Mexico/JAL-UANL-001/2020;27/05/2020;Mexico;20B
hCoV-19/Mexico/MEX-IBT_IMSS_15765-NC/2021;02/06/2021;Mexico;20B
hCoV-19/Mexico/MEX-InDRE-IBT-119/2020;24/04/2020;Mexico;20B
hCoV-19/Mexico/MEX-INMEGEN-06-03-4/2021;24/06/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/MIC_IBT_IMSS_2227/2021;18/07/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/MIC-InDRE_FB19095_S4821/2021;28/06/2021;Mexico;21H (Mu)
hCoV-19/Mexico/MIC-InDRE-74/2020;20/08/2020;Mexico;20A
hCoV-19/Mexico/MOR_InDRE_FB28722_S6013/2021;30/07/2021;Mexico;21J (Delta)
hCoV-19/Mexico/MOR-InDRE-IBT-193/2020;23/12/2020;Mexico;20B
hCoV-19/Mexico/MOR-LANGEBIO_IMSS_1400/2021;16/06/2021;Mexico;20B
hCoV-19/Mexico/MOR-LANGEBIO_IMSS_1792/2021;28/06/2021;Mexico;21J (Delta)
hCoV-19/Mexico/NAY_IBT_IMSS_2762/2021;16/08/2021;Mexico;21I (Delta)
hCoV-19/Mexico/NAY-LANGEBIO_IMSS_1315/2021;26/06/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/NLE_IBT_IMSS_2292/2021;24/06/2021;Mexico;recombinant
hCoV-19/Mexico/PUE-LANGEBIO_IMSS_1804/2021;29/06/2021;Mexico;21I (Delta)
hCoV-19/Mexico/QUE-InDRE_FB11295_S1619/2021;06/04/2021;Mexico;20B
hCoV-19/Mexico/QUE-InDRE_FB14547_S2290/2021;01/05/2021;Mexico;20B
hCoV-19/Mexico/ROO-IBT-IMSS-434/2020;03/04/2020;Mexico;20A
hCoV-19/Mexico/ROO-INMEGEN-22-319/2021;08/08/2021;Mexico;21H (Mu)
hCoV-19/Mexico/SIN_CIAD-CLN_D2735/2021;19/08/2021;Mexico;21I (Delta)
hCoV-19/Mexico/SLP-InDRE_130/2020;17/11/2020;Mexico;20B
hCoV-19/Mexico/SLP-InDRE_316/2020;23/07/2020;Mexico;20B
hCoV-19/Mexico/SO-ALSR-105366/2021;06/07/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/TAB-INMEGEN-23-157/2021;09/07/2021;Mexico;20B
hCoV-19/Mexico/TAM_INER_IMSS_2412/2021;21/09/2021;Mexico;20C
hCoV-19/Mexico/TAM-INER_IMSS_1427/2021;01/07/2021;Mexico;20I (Alpha, V1)
hCoV-19/Mexico/VER-InDRE_272/2020;10/08/2020;Mexico;20A
hCoV-19/Mexico/YUC-InDRE_FB18158_S4320/2021;21/06/2021;Mexico;20J (Gamma, V3)
hCoV-19/Mexico/YUC-NYGC-33533-20/2020;11/08/2020;Mexico;20C
hCoV-19/Mexico/ZAC-LANGEBIO_IMSS_1337/2021;28/06/2021;Mexico;21I (Delta)
hCoV-19/Mongolia/3026/2021;04/01/2021;Mongolia;20B
hCoV-19/Montenegro/CO-00357_MNE000_2358302102/2021;27/06/2021;Montenegro;20I (Alpha, V1)
hCoV-19/Montenegro/CO-00357_MNE000_2437272102/2021;09/07/2021;Montenegro;20I (Alpha, V1)
hCoV-19/Montenegro/CO-00421_MNE000_2932552102/2021;06/09/2021;Montenegro;21I (Delta)
hCoV-19/Morocco/20350021/2021;23/08/2021;Morocco;21J (Delta)
hCoV-19/Morocco/20352205/2021;25/08/2021;Morocco;21J (Delta)
hCoV-19/Morocco/20355301/2021;30/08/2021;Morocco;21I (Delta)
hCoV-19/Morocco/20355868/2021;31/08/2021;Morocco;21J (Delta)
hCoV-19/Morocco/20356364/2021;31/08/2021;Morocco;21I (Delta)
hCoV-19/Morocco/20358215/2021;03/09/2021;Morocco;21J (Delta)
hCoV-19/Morocco/FMP-183/2020;08/08/2020;Morocco;20A
hCoV-19/Morocco/FMP-199/2020;22/12/2020;Morocco;20C
hCoV-19/Morocco/FMP-203/2021;17/03/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-211/2021;19/03/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-216/2021;25/03/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-239/2021;24/03/2021;Morocco;20A
hCoV-19/Morocco/FMP-264/2021;21/04/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-322/2021;12/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-323/2021;12/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/FMP-325/2021;13/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/FMP-326/2021;12/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-327/2021;12/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/FMP-329/2021;22/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-330/2021;12/07/2021;Morocco;21I (Delta)
hCoV-19/Morocco/FMP-331/2021;13/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-333/2021;22/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-335/2021;13/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/FMP-336/2021;19/05/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/FMP-340/2021;13/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/FMP-343/2021;13/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/FMP-350/2021;22/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/FMP-351/2021;22/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/FMP-46/2020;16/12/2020;Morocco;20A
hCoV-19/Morocco/FMP-79/2021;06/01/2021;Morocco;20B
hCoV-19/Morocco/FMP-90/2021;02/01/2021;Morocco;20B
hCoV-19/Morocco/FMP-92/2021;02/01/2021;Morocco;20A
hCoV-19/Morocco/HMIMV-00242/2020;07/12/2020;Morocco;20A
hCoV-19/Morocco/HMIMV-279CC/2020;01/07/2020;Morocco;20A
hCoV-19/Morocco/HMIMV-IKRP1/2020;07/12/2020;Morocco;20A
hCoV-19/Morocco/HMIMV-Rabat1429-04/2020;19/04/2020;Morocco;20A
hCoV-19/Morocco/INH-103/2020;02/02/2020;Morocco;20A
hCoV-19/Morocco/INH-MN908947/2020;02/02/2020;Morocco;20A
hCoV-19/Morocco/INH-SEQ-3299/2021;07/04/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/Ion_code_2/2021;17/06/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/ION_CODE_3/2021;17/06/2021;Morocco;20H (Beta, V2)
hCoV-19/Morocco/ION-CODE-101/2021;08/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/LCAM-mohammedia_ELF-A-12/2020;07/12/2020;Morocco;20A
hCoV-19/Morocco/nCoV20326292/2021;12/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/nCoV20326297/2021;12/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/nCoV20326324/2021;12/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/nCoV20326349/2021;12/07/2021;Morocco;21A (Delta)
hCoV-19/Morocco/nCoV20326467/2021;12/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/nCoV20326470/2021;12/07/2021;Morocco;21J (Delta)
hCoV-19/Morocco/nCoV20326487/2021;12/07/2021;Morocco;20I (Alpha, V1)
hCoV-19/Morocco/OUA677-19/2020;23/04/2020;Morocco;20A
hCoV-19/Morocco/ouar475bis/2020;05/05/2020;Morocco;20A
hCoV-19/Morocco/RA2C/2021;04/07/2021;Morocco;21H (Mu)
hCoV-19/Morocco/RA92C/2020;17/06/2020;Morocco;19A
hCoV-19/Morocco/Sett44/2020;03/05/2020;Morocco;20A
hCoV-19/Mozambique/CERI-KRISP-K016005/2021;25/03/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/CERI-KRISP-K016042/2021;13/04/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/CERI-KRISP-K016047/2021;16/04/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/CERI-KRISP-K016056/2021;13/04/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/CERI-KRISP-K021115/2021;28/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021117/2021;30/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021118/2021;30/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021120/2021;01/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021124/2021;29/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021201/2021;07/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021204/2021;07/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021214/2021;14/07/2021;Mozambique;21A (Delta)
hCoV-19/Mozambique/CERI-KRISP-K021221/2021;15/07/2021;Mozambique;21A (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025848/2021;07/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025853/2021;07/05/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025864/2021;07/08/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025868/2021;10/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025875/2021;08/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025907/2021;30/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025912/2021;25/06/2021;Mozambique;21A (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025915/2021;28/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025916/2021;28/06/2021;Mozambique;21A (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025920/2021;02/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025925/2021;01/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025926/2021;05/07/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025929/2021;29/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025930/2021;28/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/CERI-KRISP-K025939/2021;29/06/2021;Mozambique;21J (Delta)
hCoV-19/Mozambique/INS-K007950/2020;24/09/2020;Mozambique;20B
hCoV-19/Mozambique/INS-K007957/2020;28/09/2020;Mozambique;20B
hCoV-19/Mozambique/INS-K008145/2021;15/01/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K008797/2021;22/01/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K008805/2021;16/01/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K008810/2021;16/01/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K011782/2020;24/08/2020;Mozambique;20B
hCoV-19/Mozambique/INS-K011799/2020;09/09/2020;Mozambique;20A
hCoV-19/Mozambique/INS-K011811/2020;10/12/2020;Mozambique;20B
hCoV-19/Mozambique/INS-K011821/2020;27/10/2020;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K011858/2021;06/02/2021;Mozambique;20H (Beta, V2)
hCoV-19/Mozambique/INS-K011889/2021;08/02/2021;Mozambique;20H (Beta, V2)
hCoV-19/Myanmar/DSMRC037/2021;25/06/2021;Myanmar;21A (Delta)
hCoV-19/Namibia/CERI-KRISP-K022501/2021;04/06/2021;Namibia;20H (Beta, V2)
hCoV-19/Namibia/CERI-KRISP-K022532/2021;07/06/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022541/2021;09/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022555/2021;10/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022556/2021;11/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022560/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022561/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022565/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022569/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022570/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022571/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Namibia/CERI-KRISP-K022573/2021;12/07/2021;Namibia;21J (Delta)
hCoV-19/Nepal/S-111/2021;27/06/2021;Nepal;21I (Delta)
hCoV-19/Nepal/S-70/2021;02/06/2021;Nepal;21I (Delta)
hCoV-19/Netherlands/NB-RIVM-41967/2021;23/06/2021;Netherlands;21I (Delta)
hCoV-19/Netherlands/NB-RIVM-42658/2021;25/06/2021;Netherlands;21I (Delta)
hCoV-19/NewZealand/20CV0065/2020;19/06/2020;New Zealand;20A
hCoV-19/NewZealand/20CV0270/2020;21/03/2020;New Zealand;20A
hCoV-19/NewZealand/20CV0311/2020;01/04/2020;New Zealand;20C
hCoV-19/NewZealand/20CV0404/2020;13/09/2020;New Zealand;20B
hCoV-19/NewZealand/20CV0437/2020;20/10/2020;New Zealand;20A
hCoV-19/NewZealand/20CV0461/2020;19/10/2020;New Zealand;20B
hCoV-19/NewZealand/20CV0481/2020;22/10/2020;New Zealand;20B
hCoV-19/NewZealand/20CV0499/2020;25/10/2020;New Zealand;20B
hCoV-19/NewZealand/20CV0531/2020;03/11/2020;New Zealand;20A
hCoV-19/NewZealand/20CV0554/2020;09/11/2020;New Zealand;20A
hCoV-19/NewZealand/20VR0174/2020;27/02/2020;New Zealand;19A
hCoV-19/NewZealand/20VR1192/2020;21/03/2020;New Zealand;20C
hCoV-19/NewZealand/20VR1940/2020;02/04/2020;New Zealand;20A
hCoV-19/NewZealand/20VR1997/2020;01/04/2020;New Zealand;20C
hCoV-19/NewZealand/20VR2060/2020;04/04/2020;New Zealand;20B
hCoV-19/NewZealand/20VR2067/2020;06/04/2020;New Zealand;20A
hCoV-19/NewZealand/20VR3128/2020;01/05/2020;New Zealand;20A
hCoV-19/NewZealand/20VR3210/2020;01/04/2020;New Zealand;20C
hCoV-19/NewZealand/21CH0007/2021;18/02/2021;New Zealand;20B
hCoV-19/NewZealand/21CH0030/2021;23/05/2021;New Zealand;20I (Alpha, V1)
hCoV-19/NewZealand/21CV0029/2020;30/12/2020;New Zealand;20I (Alpha, V1)
hCoV-19/NewZealand/21CV0059/2021;06/01/2021;New Zealand;20A
hCoV-19/NewZealand/21CV0182/2021;08/04/2021;New Zealand;20J (Gamma, V3)
hCoV-19/NewZealand/21CV0208/2021;12/07/2021;New Zealand;21I (Delta)
hCoV-19/NewZealand/21CV0214/2021;12/07/2021;New Zealand;21I (Delta)
hCoV-19/NewZealand/21CV0234/2021;15/03/2021;New Zealand;21I (Delta)
hCoV-19/NewZealand/21MV0519/2021;26/06/2021;New Zealand;21J (Delta)
hCoV-19/NewZealand/21MV0524/2021;21/06/2021;New Zealand;21J (Delta)
hCoV-19/NewZealand/21MV0526/2021;25/06/2021;New Zealand;20H (Beta, V2)
hCoV-19/NewZealand/21MV0575/2021;03/07/2021;New Zealand;20I (Alpha, V1)
hCoV-19/NewZealand/21MV0636/2021;27/07/2021;New Zealand;21J (Delta)
hCoV-19/NewZealand/21MV2101/2021;10/10/2021;New Zealand;21J (Delta)
hCoV-19/NewZealand/CoV001/2020;11/03/2020;New Zealand;19A
hCoV-19/NewZealand/CoV002/2020;11/03/2020;New Zealand;19A
hCoV-19/Nigeria/54gene18R/2021;10/05/2021;Nigeria;21A (Delta)
hCoV-19/Nigeria/AK-CV313/2020;27/06/2020;Nigeria;20A
hCoV-19/Nigeria/AK-CV317/2020;04/07/2020;Nigeria;20B
hCoV-19/Nigeria/BCVL-23106/2021;08/02/2021;Nigeria;20I (Alpha, V1)
hCoV-19/Nigeria/BCVL-26005/2021;29/06/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/BCVL-26007/2021;30/06/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV1124/2021;17/02/2021;Nigeria;20B
hCoV-19/Nigeria/CV1441/2021;28/06/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV1982/2021;04/08/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV1984/2021;02/07/2021;Nigeria;20B
hCoV-19/Nigeria/CV2014/2021;19/02/2021;Nigeria;20B
hCoV-19/Nigeria/CV2453/2021;10/08/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV2488/2021;27/07/2021;Nigeria;20B
hCoV-19/Nigeria/CV2710/2021;30/06/2021;Nigeria;21I (Delta)
hCoV-19/Nigeria/CV2755/2021;26/08/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV2921/2021;01/09/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV3003/2021;27/06/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV3113/2021;02/09/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/CV638/2020;29/12/2020;Nigeria;20I (Alpha, V1)
hCoV-19/Nigeria/CV916/2021;06/01/2021;Nigeria;20B
hCoV-19/Nigeria/CV918/2021;09/01/2021;Nigeria;20B
hCoV-19/Nigeria/ED02-CV156/2020;23/03/2020;Nigeria;19A
hCoV-19/Nigeria/ED07-CV160/2020;31/03/2020;Nigeria;19A
hCoV-19/Nigeria/ED20-CV162/2020;30/03/2020;Nigeria;20A
hCoV-19/Nigeria/ED32-CV164/2020;18/05/2020;Nigeria;20A
hCoV-19/Nigeria/EK254-CV60/2020;19/05/2020;Nigeria;20B
hCoV-19/Nigeria/FC-CV527/2020;07/08/2020;Nigeria;20B
hCoV-19/Nigeria/FC-CV529/2020;05/09/2020;Nigeria;20B
hCoV-19/Nigeria/KW017-CV24/2020;10/04/2020;Nigeria;20A
hCoV-19/Nigeria/KW314-CV63/2020;09/05/2020;Nigeria;20B
hCoV-19/Nigeria/KW-CV394/2020;10/07/2020;Nigeria;20B
hCoV-19/Nigeria/KW-CV400/2020;12/07/2020;Nigeria;20B
hCoV-19/Nigeria/KW-CV401/2020;12/07/2020;Nigeria;20A
hCoV-19/Nigeria/LA-CV261/2020;14/05/2020;Nigeria;20B
hCoV-19/Nigeria/LA-CV369/2020;20/04/2020;Nigeria;20B
hCoV-19/Nigeria/Lagos01/2020;27/02/2020;Nigeria;20B
hCoV-19/Nigeria/LSB_COV2-07-21-CA-1157/2021;26/07/2021;Nigeria;21J (Delta)
hCoV-19/Nigeria/NA-CV240/2020;31/05/2020;Nigeria;20B
hCoV-19/Nigeria/NA-CV351/2020;31/05/2020;Nigeria;20B
